node_id,node_type,label,score,priority,state,question,layer,channels,role
head:L0_ch8:16,head,L0_ch8:16,0.3350130717270077,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch8:16,early feature/geometry/PID reader
head:L2_ch64:96,head,L2_ch64:96,0.2969715459272265,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch64:96,late aggregation / class-evidence head
head:L2_ch0:32,head,L2_ch0:32,0.26421213281573724,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch0:32,late aggregation / class-evidence head
head:L0_ch0:8,head,L0_ch0:8,0.23265956228133292,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch0:8,early feature/geometry/PID reader
hypothesis:NEGATIVE_GATES,hypothesis,negative/suppressive gates,0.23265956228133292,,,,,,
head:L0_ch24:32,head,L0_ch24:32,0.19300828850828114,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch24:32,early feature/geometry/PID reader
head:L1_ch32:48,head,L1_ch32:48,0.18464690914843226,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch32:48,middle learned-neighborhood / route-composition head
head:L1_ch64:80,head,L1_ch64:80,0.1722523553995416,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch64:80,middle learned-neighborhood / route-composition head
head:L1_ch80:96,head,L1_ch80:96,0.16934443782083686,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch80:96,middle learned-neighborhood / route-composition head
task:T6_WIDE_SECONDARY_CONTEXT,task,T6_WIDE_SECONDARY_CONTEXT,0.15000000000000002,P1,LOW,"Besides particle0/core, is there stable wide/secondary particle context?",,,
head:L1_ch48:64,head,L1_ch48:64,0.12998252359684553,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch48:64,middle learned-neighborhood / route-composition head
head:L0_ch32:40,head,L0_ch32:40,0.11387336922925896,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch32:40,early feature/geometry/PID reader
head:L2_ch32:64,head,L2_ch32:64,0.10588864014716826,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch32:64,late aggregation / class-evidence head
head:L2_ch96:128,head,L2_ch96:128,0.06340889002894981,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch96:128,late aggregation / class-evidence head
head:L0_ch16:24,head,L0_ch16:24,0.0610171883367002,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch16:24,early feature/geometry/PID reader
head:L2_ch192:224,head,L2_ch192:224,0.04265837218845264,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch192:224,late aggregation / class-evidence head
head:L1_ch0:16,head,L1_ch0:16,0.03685495215468107,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch0:16,middle learned-neighborhood / route-composition head
head:L2_ch160:192,head,L2_ch160:192,0.033821698091924195,,,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,2,ch160:192,late aggregation / class-evidence head
head:L1_ch96:112,head,L1_ch96:112,0.00589493813458829,,,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,1,ch96:112,middle learned-neighborhood / route-composition head
head:L0_ch56:64,head,L0_ch56:64,0.004626238928176459,,,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,0,ch56:64,early feature/geometry/PID reader
